date,ride_count,avg_temp,min_temp,max_temp,precipitation,wind_speed
2023-01-01,519,8.1,4.6,10.6,0.7,9.6
2023-01-02,538,7.5,4.2,12.3,0.5,6.9
2023-01-03,510,10.2,7.9,13.6,9.4,5.3
2023-01-04,770,13.0,10.2,17.1,14.9,10.2
2023-01-05,720,10.9,7.9,13.7,0.0,10.4
2023-01-06,628,5.9,3.1,7.8999999999999995,9.8,9.2
2023-01-07,617,3.3999999999999995,0.6,7.5,0.0,10.0
2023-01-08,496,0.8,-2.3,2.8,0.2,7.5
2023-01-09,647,3.2,1.1,7.5,1.6,9.4
2023-01-10,642,2.7,-0.1,6.4,0.7,10.9
2023-01-11,715,0.9,-1.6,3.6,0.0,13.7
2023-01-12,503,6.4,0.4,10.8,12.0,14.3
2023-01-13,697,8.7,2.6,12.900000000000002,5.1,6.9
2023-01-14,432,1.1,-0.2,2.6,0.4,10.4
2023-01-15,401,0.7,-1.8000000000000003,4.8,1.5,10.5
2023-01-16,526,1.4,-2.4,7.6,0.2,6.7
2023-01-17,627,2.5,-2.0,6.6,2.5,7.9
2023-01-18,770,6.4,3.6,9.7,0.2,7.2
2023-01-19,279,4.3,2.4,6.9,23.0,12.0
2023-01-20,644,5.7,3.3,8.3,0.0,10.1
2023-01-21,592,2.5,-1.1,5.7,0.1,9.3
2023-01-22,397,2.2,-2.9,6.0,6.9,12.5
2023-01-23,413,2.8,0.8,4.5,10.6,8.6
2023-01-24,646,1.8999999999999997,-1.2,7.599999999999999,0.0,10.9
2023-01-25,437,3.1,-2.0,11.0,23.2,14.1
2023-01-26,650,6.8,2.0,11.5,8.4,23.1
2023-01-27,667,1.8000000000000003,-1.3,5.8,0.5,14.400000000000002
2023-01-28,661,5.6,0.10000000000000002,11.0,0.7,12.899999999999999
2023-01-29,546,8.2,6.1,10.6,0.0,8.8
2023-01-30,691,8.3,5.0,12.8,0.0,7.8
2023-01-31,559,3.8,1.1,7.8,1.7,9.5
2023-02-01,620,1.3,-1.1,5.0,1.2,13.2
2023-02-02,623,1.9000000000000001,-1.1,5.0,0.2,14.9
2023-02-03,391,-3.3,-10.0,2.2,0.5,11.400000000000002
2023-02-04,266,-7.9,-13.3,-2.8,0.0,11.9
2023-02-05,466,3.7,-2.2,9.4,0.0,10.6
2023-02-06,636,6.5,2.2,11.7,0.4,9.1
2023-02-07,668,3.1,0.6,5.6,1.5,11.3
2023-02-08,816,7.8,3.3,13.3,0.4,8.9
2023-02-09,765,7.9,3.9,11.7,0.0,6.1
2023-02-10,860,12.6,7.8,15.6,0.0,11.5
2023-02-11,634,5.9,3.3,9.4,0.0,8.4
2023-02-12,572,5.2,2.2,7.799999999999999,1.1,8.9
2023-02-13,751,9.1,5.0,13.9,0.2,12.9
2023-02-14,764,8.9,5.6,12.8,0.0,7.0
2023-02-15,898,12.4,7.2,17.8,0.4000000000000001,11.0
2023-02-16,730,13.3,10.6,16.7,1.3,8.1
2023-02-17,483,9.5,1.1,15.0,4.7,9.6
2023-02-18,533,2.7,-1.7,7.2,0.2,12.4
2023-02-19,514,5.7,2.8,9.4,0.0,10.8
2023-02-20,682,10.4,7.200000000000001,16.1,0.0,10.4
2023-02-21,551,6.0,3.3,8.9,5.2,11.4
2023-02-22,531,4.7,3.3,6.1,3.4,9.3
2023-02-23,673,4.8,3.9,6.1000000000000005,0.5,15.200000000000001
2023-02-24,564,4.8,-2.2,8.3,0.0,8.8
2023-02-25,440,-1.4,-3.9,0.6,0.5,8.6
2023-02-26,570,3.9,-0.6,10.6,1.0,12.1
2023-02-27,574,3.7,1.0,6.7,1.7,11.7
2023-02-28,402,2.3,1.0,3.3,8.8,16.7
2023-03-01,733,4.8,2.2,6.7,2.1,11.799999999999999
2023-03-02,768,7.0,3.5,11.699999999999998,2.5,8.3
2023-03-03,640,5.2,3.3,7.2,2.2,13.6
2023-03-04,525,5.9,4.4,8.0,10.8,14.9
2023-03-05,624,7.5,3.9,12.2,0.3,7.3
2023-03-06,639,8.3,4.4,12.2,0.0,8.8
2023-03-07,669,4.8,1.1,9.4,4.6,8.0
2023-03-08,745,4.4,0.0,9.4,0.0,8.1
2023-03-09,830,6.0,1.7,12.2,0.5,8.7
2023-03-10,610,5.3,3.3,7.2,6.4,11.1
2023-03-11,479,4.8,3.3,7.2,9.5,11.1
2023-03-12,533,4.8,1.7,8.3,0.0,9.3
2023-03-13,311,4.9,3.3,6.0,14.599999999999998,22.5
2023-03-14,411,2.1,1.4,2.8,9.4,39.1
2023-03-15,664,2.9,0.6,6.4,0.0,37.0
2023-03-16,815,5.3,-0.7,13.0,0.0,18.3
2023-03-17,795,8.6,2.8,12.8,0.1,11.2
2023-03-18,711,9.3,6.1,12.2,2.3,10.3
2023-03-19,505,2.9,0.0,5.0,0.0,14.9
2023-03-20,723,5.2,0.0,10.0,0.0,11.799999999999999
2023-03-21,869,10.1,3.3,16.7,0.0,12.4
2023-03-22,893,10.199999999999998,7.2,15.6,0.0,8.1
2023-03-23,757,11.3,8.0,14.0,1.9,8.9
2023-03-24,723,9.6,6.7,13.299999999999999,0.09999999999999999,6.8
2023-03-25,337,6.6,6.1,7.8,10.2,23.6
2023-03-26,917,11.4,5.9,17.2,0.0,14.1
2023-03-27,612,10.1,6.700000000000001,13.900000000000002,3.5,11.4
2023-03-28,795,8.5,6.7,11.1,0.0,6.3
2023-03-29,864,8.1,5.6,12.8,0.2,11.5
2023-03-30,727,5.0,0.6,9.4,0.0,7.700000000000001
2023-03-31,863,7.900000000000001,3.9,12.800000000000002,0.0,9.699999999999998
2023-04-01,694,15.1,11.1,20.0,4.4,11.9
2023-04-02,693,9.0,5.6,12.200000000000001,0.3,6.7
2023-04-03,843,9.3,4.4,13.9,0.0,13.6
2023-04-04,1018,14.9,8.9,20.6,0.0,6.8
2023-04-05,741,10.5,8.3,12.8,0.1,19.4
2023-04-06,966,15.9,11.2,24.4,1.7,7.8
2023-04-07,819,12.0,7.2,14.4,0.7,7.0
2023-04-08,733,7.1000000000000005,3.9,11.0,0.0,10.0
2023-04-09,690,8.2,4.4,12.8,0.0,12.5
2023-04-10,888,11.0,3.4,17.8,0.0,10.300000000000002
2023-04-11,1035,15.9,8.9,21.7,0.0,15.6
2023-04-12,1149,21.3,17.2,28.3,0.0,15.400000000000002
2023-04-13,1167,21.8,13.5,28.899999999999995,0.0,14.699999999999998
2023-04-14,1222,21.5,14.300000000000002,28.799999999999997,0.0,16.9
2023-04-15,1023,16.5,14.0,18.4,9.2,13.9
2023-04-16,1025,16.2,13.0,20.6,0.0,6.5
2023-04-17,952,14.5,12.0,18.9,2.1,17.0
2023-04-18,987,11.3,8.7,14.0,0.1,26.1
2023-04-19,995,10.7,4.7,17.1,0.0,17.4
2023-04-20,1087,11.6,8.9,15.600000000000001,0.0,12.8
2023-04-21,1132,14.0,8.2,20.0,0.0,13.2
2023-04-22,1150,14.7,11.1,19.0,4.7,18.0
2023-04-23,882,15.0,11.7,19.4,25.1,9.0
2023-04-24,916,12.1,7.8,16.7,0.0,6.6
2023-04-25,1041,12.2,9.4,14.4,0.0,7.3
2023-04-26,1115,12.1,10.0,14.4,0.2,11.6
2023-04-27,1022,11.9,10.6,13.9,2.4,8.0
2023-04-28,836,11.1,9.0,12.8,6.0,19.6
2023-04-29,187,10.9,8.9,12.200000000000001,32.0,24.099999999999998
2023-04-30,255,13.2,11.3,16.0,41.3,17.7
2023-05-01,1046,13.4,10.0,16.1,1.4,18.0
2023-05-02,945,11.2,9.4,13.9,3.0,16.6
2023-05-03,1012,11.1,8.9,14.4,0.7,12.1
2023-05-04,970,10.8,9.4,12.8,2.9,8.7
2023-05-05,1118,13.0,10.6,16.7,2.3,8.2
2023-05-06,1239,16.0,10.6,22.8,0.0,6.6
